id,book_name,author_name,series_name,series_position,subgenres,themes,summary,page_count,publication_year,publisher,awards,target_audience,pacing,tone,writing_style,narrative_structure,setting_type,technology_focus,content_warnings,page_page_count
0,Dune,Frank Herbert,Dune Chronicles,1.0,Space Opera; Political SF,Ecology; Religion; Politics; Resource Control; Prophecy,"On the desert planet Arrakis, control over the spice melange triggers a clash of prophecy, politics, and power.",608.0,1965,Chilton Books,Hugo Award Winner; Nebula Award Winner,Adult,Slow-burn; Character-driven,Philosophical; Epic; Political,Dense; Descriptive; Multi-layered,Third-person omniscient; Multi-POV,Desert planet; Feudal space empire,Mentats; Spice-based space travel; No AI,Violence; Political intrigue,
1,Neuromancer,William Gibson,Sprawl Trilogy,1.0,Cyberpunk,Artificial Intelligence; Corporate Control; Virtual Reality; Identity; Technology,A washed-out hacker is drawn into a dangerous AI heist across cyberspace and corporate intrigue.,271.0,1984,Ace Books,Hugo Award Winner; Nebula Award Winner; Philip K. Dick Award Winner,Adult,Fast-paced; Action-driven,Dark; Gritty; Noir,Dense; Technical; Stylized,Third-person limited,Near-future Earth; Cyberspace,AI; Cyberspace; Neural interfaces; Body modification,Violence; Drug use; Mature themes,
2,The Left Hand of Darkness,Ursula K. Le Guin,Hainish Cycle,4.0,Social SF; Planetary SF,Gender; Politics; Cultural Difference; Loyalty; Identity,An envoy to the icy world of Winter must navigate a culture without fixed gender amid political tension.,336.0,1969,Ace Books,Hugo Award Winner; Nebula Award Winner,Adult,Slow-burn; Character-driven,Philosophical; Contemplative; Political,Literary; Descriptive; Thoughtful,First-person; Mixed with field reports,Ice planet; Feudal societies,Minimal technology; Ansible communication,Political intrigue,
3,Foundation,Isaac Asimov,Foundation Series,1.0,Social SF; Space Opera,Psychohistory; Empire; Civilization; Knowledge Preservation; Prediction,"As a galactic empire declines, a Foundation is created to preserve knowledge and guide humanity's future.",255.0,1951,Gnome Press,Hugo Award for Best All-Time Series,Adult,Moderate; Idea-driven,Intellectual; Epic; Optimistic,Clear; Dialogue-heavy; Concept-focused,Third-person; Episodic across centuries,Galactic empire; Multiple worlds,Atomic power; Space travel; Psychohistory,None,
4,The Hobbit,J.R.R. Tolkien,Middle-earth,0.0,High Fantasy; Adventure,Heroism; Greed; Home; Adventure; Personal Growth,Bilbo Baggins sets out on a quest with dwarves and a wizard to reclaim treasure from a dragon.,310.0,1937,George Allen & Unwin,Carnegie Medal Nominee; New York Herald Tribune Prize,Young Adult; Adult,Moderate; Adventure-driven,Whimsical; Adventurous; Light,Accessible; Descriptive; Fairy-tale-like,Third-person omniscient,Middle-earth; Fantasy world,Pre-industrial; Magic items,Fantasy violence,
5,A Game of Thrones,George R. R. Martin,A Song of Ice and Fire,1.0,Epic Fantasy; Political Fantasy,Power; Politics; War; Family; Honor; Betrayal,Noble families vie for control of the Iron Throne while an ancient evil awakens in the frozen North.,694.0,1996,Bantam Books,Locus Award Winner,Adult,Moderate; Character and plot-driven,Dark; Gritty; Morally ambiguous,Detailed; Descriptive; Multi-perspective,Third-person limited; Multi-POV,Medieval-inspired fantasy world,Medieval technology; Minimal magic,Violence; Sexual content; Mature themes,
6,Mistborn: The Final Empire,Brandon Sanderson,Mistborn Era 1,1.0,Epic Fantasy; Heist Fantasy,Revolution; Power; Trust; Faith; Sacrifice,A street urchin with magical powers joins a crew planning to overthrow an immortal emperor.,541.0,2006,Tor Books,Romantic Times Reviewers Choice Award,Young Adult; Adult,Fast-paced; Action-driven,Dark; Hopeful; Action-packed,Accessible; Clear; Action-focused,Third-person limited; Dual POV,Dark dystopian empire; Ash-covered world,Hard magic system (Allomancy); Industrial age,Violence; Oppression themes,
7,The Way of Kings,Brandon Sanderson,The Stormlight Archive,1.0,Epic Fantasy,Honor; Leadership; Depression; War; Redemption,Three individuals navigate war and personal struggles in a storm-ravaged world of ancient mysteries.,1007.0,2010,Tor Books,David Gemmell Legend Award Nominee,Adult,Slow-burn; Character-driven,Epic; Hopeful; Complex,Detailed; Descriptive; World-building heavy,Third-person limited; Multi-POV,Storm-swept world; Medieval fantasy,Hard magic system (Surgebinding); Shardblades,Violence; Slavery; Mental health themes,
8,The Fifth Season,N. K. Jemisin,The Broken Earth,1.0,Apocalyptic Fantasy; Science Fantasy,Oppression; Survival; Motherhood; Prejudice; Environmental Catastrophe,"In a catastrophe-ravaged world, a woman searches for her daughter while civilization collapses.",468.0,2015,Orbit Books,Hugo Award Winner,Adult,Moderate; Character-driven,Dark; Intense; Emotional,Literary; Innovative; Second-person narrative,Second and third-person; Multi-timeline,Post-apocalyptic supercontinent; Geologically active,Orogeny (earth magic); Post-tech civilization,Violence; Child death; Oppression,
9,Ender's Game,Orson Scott Card,Ender Saga,1.0,Military SF; Young Adult SF,War; Childhood; Strategy; Morality; Leadership,A brilliant child is trained in military tactics to defend humanity against an alien threat.,324.0,1985,Tor Books,Hugo Award Winner; Nebula Award Winner,Young Adult; Adult,Fast-paced; Plot-driven,Thoughtful; Intense; Moral complexity,Accessible; Clear; Engaging,Third-person limited,Space stations; Future Earth,Space warfare; Zero-gravity combat; Ansible,Violence; Bullying; Child soldiers,
10,Hyperion,Dan Simmons,Hyperion Cantos,1.0,Space Opera; Literary SF,Time; Religion; Pilgrimage; Technology; Humanity,"Seven pilgrims travel to the Time Tombs, each telling their tale while seeking the mysterious Shrike.",482.0,1989,Doubleday,Hugo Award Winner; Locus Award Winner,Adult,Moderate; Character-driven,Literary; Complex; Varied,Literary; Dense; Multi-genre,Frame narrative; Canterbury Tales structure,Far-future galaxy; Multiple worlds,AI; Time manipulation; Farcasters; Resurrection,Violence; Disturbing imagery,
11,Leviathan Wakes,James S. A. Corey,The Expanse,1.0,Space Opera; Hard SF,Class Conflict; Survival; Politics; Conspiracy; Humanity,A detective and a ship captain uncover a conspiracy that threatens the fragile peace in the solar system.,561.0,2011,Orbit Books,Hugo Award Nominee; Locus Award Nominee,Adult,Fast-paced; Action-driven,Gritty; Noir; Action-packed,Accessible; Cinematic; Fast-paced,Third-person limited; Dual POV,Solar system colonization; Space stations,Realistic space travel; Epstein Drive; Protomolecule,Violence; Gore; Language,
12,The Obelisk Gate,N. K. Jemisin,The Broken Earth,2.0,Apocalyptic Fantasy; Science Fantasy,Survival; Family; Power; Oppression; Transformation,"As the world ends, orogenes must decide whether to save humanity or let it perish.",410.0,2016,Orbit Books,Hugo Award Winner,Adult,Moderate; Character-driven,Dark; Intense; Emotional,Literary; Innovative; Multi-perspective,Second and third-person; Multi-POV,Post-apocalyptic supercontinent; Underground refuges,Orogeny; Ancient obelisks; Moon manipulation,Violence; Oppression; Child endangerment,
13,The Stone Sky,N. K. Jemisin,The Broken Earth,3.0,Apocalyptic Fantasy; Science Fantasy,Redemption; Family; Cycles; Power; Transformation,The final confrontation approaches as mother and daughter hold the fate of the world in their hands.,398.0,2017,Orbit Books,Hugo Award Winner,Adult,Fast-paced; Resolution-focused,Epic; Emotional; Hopeful,Literary; Powerful; Conclusive,Second and third-person; Multi-POV,Post-apocalyptic world; The Moon,Advanced orogeny; Moon technology; Ancient civilizations,Violence; Oppression themes,
14,Children of Time,Adrian Tchaikovsky,Children of Time,1.0,Hard SF; Evolutionary SF,Evolution; Survival; Intelligence; Civilization; Species Conflict,Humanity's last survivors encounter an alien civilization born from an experiment gone wrong.,600.0,2015,Tor Books,Arthur C. Clarke Award Winner,Adult,Moderate; Idea-driven,Thoughtful; Epic; Scientific,Detailed; Scientific; Multi-perspective,Third-person; Dual timeline across millennia,Terraformed planet; Generation ship,Terraforming; Genetic engineering; AI; Space travel,Violence between species,
