id,question
0,What is the publication year of the book Dune?
0,In what genre does the book Dune primarily belong?
0,Who is the author of the book Dune?
0,How many pages are in the hardcover edition of the book Dune?
0,Which audience is the target demographic for the book Dune?
2,What is the page count of the book 'The Left Hand of Darkness'?
2,For which publisher was the book 'The Left Hand of Darkness' originally published?
2,In what year was the book 'The Left Hand of Darkness' first published?
2,Who is the author of the book 'The Left Hand of Darkness'?
2,What is the target audience for the book 'The Left Hand of Darkness'?
3,"What is the publication year of the book ""Foundation""?"
3,"Which publisher released the book ""Foundation"" in 1951?"
3,"Who is the author of the book ""Foundation""?"
3,"How many pages does the book ""Foundation"" have?"
3,In what year was the first book in the Foundation Series published?
4,What is the publication year of the book 'The Hobbit'?
4,Who is the author of the book 'The Hobbit'?
4,What is the series position of the book 'The Hobbit' within the 'Middle-earth' series?
4,How many pages does the book 'The Hobbit' contain?
4,What are some notable themes present in the book 'The Hobbit'?
5,What is the publication year of the book 'A Game of Thrones'?
5,"Who is the author of the book series 'A Song of Ice and Fire', to which 'A Game of Thrones' belongs, and what is the position of this book in the series?"
5,"How many pages does the book 'A Game of Thrones' have, and from which subgenres is it classified?"
5,"For what age range or audience is the book 'A Game of Thrones' primarily targeted, according to the metadata provided?"
5,"What writing style can be identified as characteristic of this book, given its detailed, descriptive, and multi-perspective nature?"
7,What is the page count of The Way of Kings?
7,In what year was The Way of Kings published?
7,Who is the author of The Way of Kings?
7,"To what extent does The Way of Kings focus on hard magic systems in its world-building, according to the metadata?"
7,Is The Way of Kings targeted towards a specific age range based on the metadata?
8,What is the publication year of the book 'The Fifth Season'?
8,"In what order is this book part of its series, and how many books does the series have in total?"
8,"Which genres are most commonly associated with this book, according to the metadata?"
8,Is this book primarily targeted towards a specific age range or demographic group?
8,What literary technique is employed in the writing style of 'The Fifth Season' as described by the author?
9,What is the publication year of Ender's Game?
9,Who is the author of the book Ender's Game?
9,How many pages does the book Ender's Game have?
9,For what target audience is the book Ender's Game primarily intended?
9,What is the main subgenre of the book series Ender Saga?
10,What is the number of pages in the book 'Hyperion'?
10,"Who is the author of the book series 'Hyperion Cantos', and what is the first position of the series?"
10,"What genres of fiction does the book 'Hyperion' belong to, according to its metadata record?"
10,"What themes are explored in the book 'Hyperion', as identified by its metadata record?"
10,In what year was the book 'Hyperion' originally published?
11,What is the publication year of the book 'Leviathan Wakes'?
11,Which author wrote the book 'Leviathan Wakes'?
11,How many pages does the book 'Leviathan Wakes' have?
11,Who are the target audience for the book 'Leviathan Wakes'?
11,What is the primary technology focus of the book 'Leviathan Wakes'?
12,What is the publication year of this book?
12,Which publisher released 'The Obelisk Gate'?
12,How many pages does the book contain?
12,For which series does 'The Obelisk Gate' belong and its position within it?
12,What type of setting does the story take place in?
13,What is the page count of the book 'The Stone Sky'?
13,Who is the author of the series and book 'The Stone Sky'?
13,In what position is 'The Stone Sky' within its respective series?
13,What genres does the book 'The Stone Sky' belong to?
13,When was the book 'The Stone Sky' published?
14,What is the target audience for the book 'Children of Time'?
14,Which subgenres does the book 'Children of Time' belong to?
14,How many pages does the book 'Children of Time' contain?
14,In what year was the book 'Children of Time' published?
14,Who is the author of the book 'Children of Time'?
15,What is the total page count of 'Children of Ruin'?
15,In what year was the book 'Children of Ruin' published?
15,"Who is the author of the book series 'Children of Time', and which position is this book in the series?"
15,Can you identify the primary subgenres associated with the book 'Children of Ruin'?
15,What is the recommended target audience for the book 'Children of Ruin'?
16,What is the publication year of the book 'The Forever War'?
16,"Who is the author of the book series 'The Forever War', and what is the position of this specific book within the series?"
16,How many pages are in the hardcover edition of 'The Forever War'?
16,In which subgenres is the book 'The Forever War' primarily classified?
16,What is the recommended age range for readers of 'The Forever War'?
17,What is the publication year of the book 'Old Man's War'?
17,Which publisher released the book 'Old Man's War' in 2005?
17,How many pages does the book 'Old Man's War' contain?
17,To what type of audience is the book 'Old Man's War' primarily targeted?
17,What are some of the themes present in the book 'Old Man's War'?
18,What is the title of the first book in Kim Stanley Robinson's Mars Trilogy?
18,In what year was 'Red Mars' published by Bantam Books?
18,How many pages does the book 'Red Mars' contain?
18,To which subgenres of science fiction does the book 'Red Mars' belong?
18,What is a primary theme explored in Kim Stanley Robinson's novel 'Red Mars'?
19,What is the publication year of the book 'Green Mars'?
19,Which publisher released the book 'Green Mars'?
19,How many pages does the book 'Green Mars' have?
19,What are the primary subgenres associated with the book 'Green Mars'?
19,Is 'Green Mars' targeted towards a specific age range or audience group?
20,What is the series position of 'Blue Mars' within its respective series?
20,In what year was 'Blue Mars' published by Bantam Spectra?
20,How many pages does 'Blue Mars' contain?
20,Who is the author of 'Blue Mars'?
20,What are the primary content warnings associated with reading 'Blue Mars'?
